Preguntas,Autores,Respuestas,Vistas
Proof that the sequence defined by the average of the last two terms is convergent.,real-analysis,0,2
An isomorphism between $V$ and $V^*$ induces an inner product on $V$,sequences-and-series,0,4
Set theory class 12 question,analysis,0,5
Solution to a Boundary Value Problem using Green's Function leads to a diverging integral,solution-verification,0,2
Normal bundle of a family of manifolds and its structures,proof-writing,0,2
That problem is to show how we prove the subgroup of quarterion group,martinkleins,0,8
Smallest possible value of k.,real-analysis,0,1
Understanding proof of the Krull's height theorem,inner-products,0,1
"Stalling's ""Topology of Finite Graphs"", question regarding the images of the induced homomorphisms",Mahtab,0,1
combinatorics / Counting problem,discrete-mathematics,0,1
Basis Minor Theorem Book in Shilov's Linear Algebra Book 1.93: why i≤r,Anonymous,0,1
Proving that there are infinitely many points on the unit circle such that the distance between any two of them is a rational number.,integration,0,3
Why can I integrate two differentials on the two side of an equation?,definite-integrals,0,2
Expected time to reach boundary for two i.i.d. random walks?,boundary-value-problem,3,1
Is $f^{-1}(A)$ always rigorously defined even when $A$ is a set not in the codomain?,greens-function,0,5
Applications of derivatives in real life question,Researcher R,3,1
Bounds on the ratio between second raw moment and expected of absolute value squared,differential-geometry,0,1
Doubt about the power of $x$ of the function to find that $f(x) = 3$ is an even function,manifolds,0,8
How to merge 2 multivariate Gaussians with different probabilities of occurring?,differential-topology,0,1
Understanding the Mathematics of 'The Game of Life' by John Conway and Cellular Automata,fiber-bundles,0,9
"Evaluating $\int_{0}^{1}\frac{\arctan(x)}{x^2+x+1}\,dx$",timaeus,0,3
Double sum of natural numbers squared,abstract-algebra,0,3
Central Limit Theorem Variant,Rukundo Jeannepo,0,2
Limit of 𝑥[3−cos($𝑥^2$)] using the epsilon-delta definition,algebra-precalculus,0,2
"Given, $\frac{f'(x)}{g'(x)}+f_1(x)\frac{f(x)}{g(x)}=f_2(x)\;\forall x\gt0$. Find $\lim_{x\to\infty}\frac{g'(x)}{f'(x)}$",inequality,0,2
Perceptron Convergence: Monotonically Approach Solution?,triangles,0,1
"In a planar embedding of a graph, can vertices lie on each other?",problem-solving,0,2
Doubt verification regarding tiling.,discriminant,0,1
Characterizing smooth functions in polar coordinates,tjun kit min,0,2
Why is a non-planar graph still non-planar after subdividing it?,commutative-algebra,0,2
Last step of an intense algorithm requiring efficiency: A closed form for $\sum_{s=2}^{\lfloor\frac{T}{2}\rfloor}{2s-1 \choose s-2}{T \choose T-2s}$?,krull-dimension,0,2
